,id,name,lat,long
84,ukl1100-39990,Rhosneigr,53.2196210646794,-4.51220921059881
85,ukl1100-39993,Silver Bay Rhoscolyn,53.2459259235286,-4.56051903360282
86,ukl1100-39995,Borth Wen,53.2438646503345,-4.58932514487515
87,ukl1100-40000,Trearddur Bay,53.2783984494296,-4.61781599167821
88,ukl1100-40010,Porth Dafarch,53.2865391583526,-4.65222388161576
89,ukl1100-40030,Church Bay,53.3740288680681,-4.55737626792857
90,ukl1100-40050,Cemaes,53.4142410449098,-4.44918012038702
91,ukl1100-40085,Traeth Lligwy,53.3631842773274,-4.25716648416566
92,ukl1100-40100,Benllech,53.3194164612413,-4.21311421113223
93,ukl1100-40105,St Davids - Benllech,53.3148542562517,-4.20702300713469
94,ukl1100-40140,Llanddona,53.3083672200994,-4.15370070921
95,ukl1301-40170,Llanfairfechan,53.2628280011563,-3.98017521344466
96,ukl1301-40180,Penmaenmawr,53.2738172964964,-3.92399121262887
97,ukl1301-40200,Llandudno West Shore,53.3173496779201,-3.85463758549329
98,ukl1301-40300,Llandudno North Shore,53.3253063653725,-3.82840499580298
99,ukl1301-40400,Colwyn Bay,53.3056166085436,-3.73279882926937
100,ukl1301-40425,Colwyn Bay Porth Eirias,53.298174,-3.718497
101,ukl1301-40450,Abergele (Pensarn),53.2974132837042,-3.58517281231346
102,ukl1301-40500,Kinmel Bay (Sandy Cove),53.3124474362558,-3.53544460573242
103,ukl1302-40550,"Marine Lake, Rhyl",53.3129,-3.5009
104,ukl1302-40600,Rhyl,53.3308768232151,-3.50006591633662
105,ukl1302-40650,Rhyl East,53.325999,-3.486893
106,ukl1302-40700,Prestatyn,53.3462907261913,-3.41573147262792
