zwemwaterlocatie_id,naam,latitude,longitude
1096,"Strand Meent, Loosdrechtse Plassen",52.1756,5.0541
1097,De Meent,52.1739,5.0313
1098,"Strand De Strook, peuterbad, Loosdrechtse plassen",52.1684,5.0556
1100,De Wijde Blik,52.2315,5.0685
1101,Zwemlust,52.193,5.0069
1102,Maarsseveense Plassen Strandbad,52.1455,5.0793
1103,Maarsseveense Plassen Zuidhoek,52.1373,5.0963
1104,Recreatieoord De Wilgenplas,52.1488,5.0572
1107,Googpad Grootstrand (Spiegelplas),52.2614,5.0675
1108,De Bergse Akker,52.2665,5.048
1109,Strand Sporthal Spiegelplas,52.2608,5.05
1110,Googpad Noordoost Strand (Spiegelplas),52.2744,5.0713
1112,Dorregeest,52.5322,4.7233
1113,"Lutjestrand, Amstelmeer",52.8868,4.914
1114,'t Skarpet,52.7175,4.8725
1115,"Geestmerambacht, Zwembaai 8",52.681,4.7647
1116,"Geestmerambacht, Zwembaai 7",52.6793,4.7739
1118,'t Petje,52.7392,4.8396
1119,"Strand De Wiel, Schagen",52.7823,4.7785
1120,"Strand van Luna, Heerhugowaard",52.6484,4.798
1121,Noorderplas,52.6873,4.8187
1122,Zwaansmeer,52.5278,4.73
1124,"De Smient, Jagersveld",52.4616,4.8316
1125,De Kuifeend; Jagersveld,52.4641,4.8386
1126,Het Twiske; Kure-Jan Strand,52.4563,4.8939
1127,Het Twiske; Schoorlstrand,52.4526,4.8806
1129,Het Twiske Baaiegat Naturistenstrand,52.4555,4.8815
1130,Het Twiske; Doesstrand,52.4383,4.8937
1131,Het Twiske; Vennegatstrand,52.4413,4.8939
1132,Spartelvijver Twiske Poort,52.4398,4.8868
1133,Het Twiske Speelsloot,52.4613,4.898
1135,Twiske; De Leers,52.4507,4.8861
1137,De Leijen,52.6551,4.874
1138,Streekbos,52.711,5.2521
1140,Zegerplas Zuidoever,52.1301,4.6832
1141,Oosterduinse meer Noordwestoever,52.2824,4.5052
1142,Oosterbad,52.2862,4.7999
1143,'t Wed,52.3996,4.5898
1144,Oosterplas Duinmeer,52.4171,4.6054
1145,Vlietland Surfstrand Noordwestoever,52.1211,4.4593
1146,Vlietland Speelvijver,52.1208,4.4681
1147,Vlietland Badstrand Noordoostoever,52.1196,4.4658
1149,Kagerplassen 't Joppe Westoever,52.1942,4.5083
1150,Kagerplassen 't Joppe Merenwijk,52.1874,4.5186
1151,Braassemermeer,52.1965,4.644
1152,Wijde Aa Zuidzijde,52.1741,4.6172
1154,Zegerplas Speelvijver,52.1358,4.678
1155,"Westeinderplassen, Vrouwentroost",52.2529,4.757
1156,Kleipoel,52.2026,4.5888
1157,Valkenburgse Meer,52.1586,4.4422
1158,"Nieuwe Meer Westzijde, Oeverlanden",52.3336,4.8128
1160,"Westeinderplassen, Zwemsteiger Herenweg",52.2354,4.7433
1161,Kaageiland,52.2161,4.5577
1163,Reeuwijkse Hout,52.0583,4.7422
1164,Noord Aa Zwemstrand,52.0875,4.5079
1165,Noord Aa Speelvijver,52.0859,4.5117
1166,Waterspeelplaats Cronesteijn,52.1436,4.4988
1167,Nieuwkoopse Plassen Meijepark,52.1309,4.7746
1169,Plas Elfhoeven,52.0321,4.7375
1170,Klinkenbergerplas Noordwestoever,52.1992,4.4859
1171,Klinkenbergerplas Westoever,52.1951,4.4862
1172,Recreatieplas Toolenburg Speelvijver,52.3005,4.6495
1173,"Recreatieplas Toolenburg, Grote Strand",52.2971,4.6456
1174,Haarlemmermeerse Bos Zuidstrand,52.3251,4.6709
1175,Haarlemmermeerse Bos Spartelvijver,52.3251,4.6649
1176,Veerplas Noordzijde,52.3874,4.6745
1178,Westbroekplas,52.4271,4.6733
1180,"Naaktrecreatie, Spaarnwoude",52.4267,4.6862
1182,Peddelpoel,52.4377,4.6754
1183,De Kikker,52.1301,5.1306
1184,Strijkviertelplas,52.0754,5.0591
1186,Down Under,52.0489,5.126
1187,Haarrijnse Plas,52.1136,5.0278
1188,Cattenbroek,52.083,4.9142
1189,"Rietplas, strand",52.0223,5.1888
1190,Plas Prinsenbos,52.0075,4.1982
1191,"Plassen Madestein, Zuidzijde",52.0364,4.2152
1192,"Plassen Madestein, Noordzijde",52.0388,4.2246
1193,"Plassen Madestein, Loosduinen",52.0438,4.2334
1195,Krabbeplas Oostzijde,51.9155,4.3037
1199,Delftse Hout,52.0232,4.3792
1202,Dobbeplas,52.0352,4.4032
1203,Naturistencamping Delft,51.9773,4.3891
1204,Wollebrand,51.993,4.2384
1205,Plas Wilhelminapark,52.0248,4.3288
1206,Waterspeelplaats Tubasingel,52.0294,4.3235
1207,Natuurbad Te Werve,52.0449,4.3197
1211,Oostvoornse Meer Noordzijde,51.9323,4.0801
1212,Bernisse Zuidland Oostzijde,51.8219,4.2712
1213,Bernisse Abbenbroek Oostzijde,51.8552,4.2448
1217,Brielse Meer Zoom West,51.9069,4.1968
1218,Brielse Meer Brielsebrug Zuidzijde,51.8995,4.2057
1219,Oostvoornse Meer Zuidzijde,51.9192,4.0685
1220,Brielse Meer De Stenen Baak,51.9295,4.143
1221,Brielse Meer WSV Nautica,51.8947,4.218
1222,Brielse Meer Camping de Krabbeplaat,51.9089,4.1808
1225,Plas Merwelanden,51.8102,4.7658
1226,"Binnenbedijkte Maas, Mijnsheerenland",51.793,4.4857
1228,Waalboezem Surfbocht,51.855,4.5764
1229,Sandelingen Ambacht,51.8459,4.6191
1230,Plas Wevershoek,51.8529,4.5678
1231,Vijver Oosterpark,51.8589,4.6101
1233,Plas Vrijenburgbos,51.868,4.5003
1234,Plas Clarabos,51.8655,4.4836
1235,Zevenhuizerplas Nesselande,51.9833,4.5791
1236,Bleiswijkse Zoom,52.0133,4.553
1237,Kralingse Plas,51.9388,4.5099
1238,Zevenhuizerplas Strand Noordwestzijde,51.9818,4.557
